,repo,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,non_performance_candidate_commit_id,commiter_fixing_date,releases_pre_fixing_commit,issues_pre_fixing_commit,open_issues_pre_fixing_commit,closed_issues_pre_fixing_commit,mean_code_frequency_addition,median_code_frequency_addition,mean_code_frequency_deletion,median_code_frequency_deletion,patch_total_modifications,patch_total_deletions,patch_total_additions,Main Language,LOC,Contributors,age_pre_fixing
97,https://github.com/k9mail/k-9,android,225,225,5491dee81,5491dee81,c6f6e995f,2009-06-15T05:04:03Z,0,0,0,0,2558.255597,483,2311.73694,235.5,9,3,6,Java,40841,7,232
98,https://github.com/k9mail/k-9,android,0,0,536133daf,536133daf,4a6f2e419,2009-05-14T00:09:43Z,0,0,0,0,2549.393715,481,2297.892791,233,2,1,1,Java,38600,7,200
99,https://github.com/k9mail/k-9,android,26,26,ee4ac0778,ee4ac0778,4ed1c8285,2009-05-05T03:15:07Z,0,0,0,0,2545.723247,483,2294.345018,234,2,1,1,Java,38394,7,191
100,https://github.com/k9mail/k-9,android,0,288,d5b9aec39,d85315222,1b6e9bd4b,2013-07-01T20:34:43Z,282,324,0,324,2883.270769,364,2751.753846,177,9,3,6,Java,107182,7,1709
101,https://github.com/k9mail/k-9,android,42,42,5491dee81,5491dee81,97d10d0d2,2008-12-14T06:18:24Z,0,0,0,0,2476.446619,480.5,2221.580071,230.5,16,2,14,Java,32445,7,49
102,https://github.com/k9mail/k-9,android,0,0,5491dee81,4f798ae9c,6cd5ce7de,2008-11-02T03:56:13Z,0,0,0,0,2555.68662,476.5,2331.582746,229,62,33,29,Java,30800,4,7
103,https://github.com/k9mail/k-9,android,53,53,29fdb81f9,29fdb81f9,8fa4223c3,2011-02-22T00:17:07Z,169,3,0,3,2472.727679,397.5,2186.575893,204.5,2,1,1,Java,95457,7,849
104,https://github.com/kontalk/androidclient,android,0,79,90a637edc,7f45d9446,019e961bd,2012-07-05T08:26:45Z,10,0,0,0,880.2917772,255,674.7851459,91,12,6,6,Java,24397,3,410
105,https://github.com/kontalk/androidclient,android,21,61,0e0cf0d0f,be1a5eb90,4b2929143,2011-07-29T10:07:04Z,0,0,0,0,877.0164319,259.5,641.084507,92.5,153,44,109,Java,7045,1,68
106,https://github.com/kontalk/androidclient,android,1,58,59cdfdf27,aa3c73b92,e8fc45750,2011-07-28T21:09:14Z,0,0,0,0,877.0164319,259.5,641.084507,92.5,82,29,53,Java,6998,1,67
107,https://github.com/kontalk/androidclient,android,2,329,1962caf71,45569d83d,5f91480c9,2015-06-01T11:21:13Z,46,447,47,400,511.4888889,202,261.0044444,72,54,24,30,Java,32925,5,1471
108,https://github.com/kontalk/androidclient,android,556,556,90907dc57,90907dc57,c08b7c023,2015-06-01T11:18:24Z,46,447,47,400,511.4888889,202,261.0044444,72,6,3,3,Java,32919,5,1471
109,https://github.com/kontalk/androidclient,android,1,1369,5d4f29605,7419757ee,0c06129b2,2015-03-01T17:56:35Z,39,322,33,289,518.4327731,227,262.605042,76,107,29,78,Java,28815,5,1379
110,https://github.com/MirakelX/mirakel-android,android,83,250,ab73cdd8,12156ba0,3c6805e9,2014-10-29T22:08:22Z,38,561,29,532,473.3476563,0,523.6757813,0,145,78,67,Java,6907,4,1662
111,https://github.com/MirakelX/mirakel-android,android,10,10,9a7727e4,9a7727e4,a07c1056,2014-07-13T20:04:10Z,31,498,24,474,608.9778598,0,606.904059,0,18,1,17,Java,2503,4,1554
112,https://github.com/MirakelX/mirakel-android,android,0,0,1310cc37,1310cc37,25895fe7,2014-07-04T22:26:16Z,29,493,24,469,610.2783883,0,605.040293,0,2,1,1,Java,11603,4,1545
113,https://github.com/MirakelX/mirakel-android,android,44,92,801fb763,4cb16255,39cea5c4,2014-05-25T17:48:18Z,26,459,15,444,783.6223022,0,768.5071942,0,23,5,18,Java,2242,3,1505
114,https://github.com/MirakelX/mirakel-android,android,96,223,c6ead04e,b4ac82ef,acd67223,2015-03-23T10:58:04Z,42,586,34,552,321.4978723,0,456.9957447,0,30,6,24,Java,16974,4,1807
115,https://github.com/MirakelX/mirakel-android,android,50,80,15d2e788,ca0e2f4a,4ee4361b,2015-03-14T12:11:05Z,42,586,34,552,328.2362869,0,455.2405063,0,36,13,23,Java,12846,4,1798
116,https://github.com/naman14/Timber,android,52,150,a1ae141,b3332e6,dc6e30e,2015-12-20T07:11:55Z,0,103,25,78,85.27040816,0,42.6122449,0,38,12,26,Java,19366,19,196
117,https://github.com/naman14/Timber,android,0,165,39e64d3,5349980,9837812,2015-12-20T12:24:08Z,0,103,25,78,85.27040816,0,42.6122449,0,250,40,210,Java,19771,19,196
118,https://github.com/open-keychain/open-keychain,android,160,166,f13953e8f,a655664c0,1144ebb94,2015-08-24T00:37:26Z,28,1500,55,1445,1298.126761,262,1036.680751,104,69,31,38,Java,78305,75,1968
119,https://github.com/open-keychain/open-keychain,android,0,1157,4f35355e8,0326bbce6,d14e0b2ed,2015-08-12T18:25:58Z,26,1479,52,1427,1388.669767,283,1069.567442,118,61,14,47,Java,76490,75,1956
120,https://github.com/osmandapp/Osmand,android,8,24,f9b0835949,bec84498d7,279f0b1575,2011-10-16T19:23:07Z,0,95,0,95,7536.731884,3628.5,5959.543478,1974,20,3,17,Java,121843,37,539
121,https://github.com/osmandapp/Osmand,android,6,162,ccdb7294f5,9d066711da,17d4467ec4,2011-10-15T10:44:39Z,0,94,0,94,7534.190361,3639,5954.73012,1975,35,17,18,Java,121820,37,538
122,https://github.com/osmandapp/Osmand,android,110,805,7bc162a878,1bfaf5e1c6,5b1aff575d,2015-07-03T09:30:54Z,0,1435,14,1421,6891.828054,4191,4734.235294,2091,9,2,7,Java,277005,56,1895
123,https://github.com/osmandapp/Osmand,android,0,0,1e85c0234d,1e85c0234d,007cf661a9,2012-11-10T20:55:29Z,0,347,0,347,6751.415042,3548,5516.292479,1844,10,4,6,Java,278746,56,930
124,https://github.com/osmandapp/Osmand,android,19,20,44218fbe0a,ccb1bcdfdb,06af098c61,2012-10-18T16:42:52Z,0,327,0,327,6756.48895,3540,5484.353591,1846,27,10,17,Java,251322,56,907
125,https://github.com/osmandapp/Osmand,android,0,25,ca5b481061,ca47dc056f,59f16364cd,2010-09-27T16:25:48Z,0,0,0,0,7392.260128,3430,5997.763326,1854,51,23,28,Java,103462,7,155
126,https://github.com/osmandapp/Osmand,android,1,201,7765383d85,5d335f5dab,413aad56a9,2016-03-31T13:09:25Z,0,2400,53,2347,7083.335165,4117.5,4659.17033,2048.5,12,2,10,Java,321748,56,2167
